ID,Article,Authors,Published_Year,Tag,Link
40112809,Pyruvate metabolism enzyme DLAT promotes tumorigenesis by suppressing leucine catabolism.,"['Wang N', 'Lu S', 'Cao Z', 'Li H', 'Xu J', 'Zhou Q', 'Yin H', 'Qian Q', 'Zhang X', 'Tao M', 'Jiang Q', 'Zhou P', 'Zheng L', 'Han L', 'Li H', 'Yin L', 'Gu Y', 'Dou X', 'Sun H', 'Wang W', 'Piao HL', 'Li F', 'Xu Y', 'Yang W', 'Chen S', 'Liu J.']",2025,Cell Metab.,https://pubmed.ncbi.nlm.nih.gov/40112809/
40112802,Growth of the maternal intestine during reproduction.,"['Ameku T', 'Laddach A', 'Beckwith H', 'Milona A', 'Rogers LS', 'Schwayer C', 'Nye E', 'Tough IR', 'Thoumas JL', 'Gautam UK', 'Wang YF', 'Jha S', 'Castano-Medina A', 'Amourda C', 'Vaelli PM', 'Gevers S', 'Irvine EE', 'Meyer L', 'Andrew I', 'Choi KL', 'Patel B', 'Francis AJ', 'Studd C', 'Game L', 'Young G', 'Murphy KG', 'Owen B', 'Withers DJ', 'Rodriguez-Colman M', 'Cox HM', 'Liberali P', 'Schwarzer M', 'Leulier F', 'Pachnis V', 'Bellono NW', 'Miguel-Aliaga I.']",2025,Cell.,https://pubmed.ncbi.nlm.nih.gov/40112802/
40112801,Asian diversity in human immune cells.,"['Kock KH', 'Tan LM', 'Han KY', 'Ando Y', 'Jevapatarakul D', 'Chatterjee A', 'Lin QXX', 'Buyamin EV', 'Sonthalia R', 'Rajagopalan D', 'Tomofuji Y', 'Sankaran S', 'Park MS', 'Abe M', 'Chantaraamporn J', 'Furukawa S', 'Ghosh S', 'Inoue G', 'Kojima M', 'Kouno T', 'Lim J', 'Myouzen K', 'Nguantad S', 'Oh JM', 'Rayan NA', 'Sarkar S', 'Suzuki A', 'Thungsatianpun N', 'Venkatesh PN', 'Moody J', 'Nakano M', 'Chen Z', 'Tian C', 'Zhang Y', 'Tong Y', 'Tan CTY', 'Tizazu AM', 'Loh M', 'Hwang YY', 'Ho RC', 'Larbi A', 'Ng TP', 'Won HH', 'Wright FA', 'Villani AC', 'Park JE', 'Choi M', 'Liu B', 'Maitra A', 'Pithukpakorn M', 'Suktitipat B', 'Ishigaki K', 'Okada Y', 'Yamamoto K', 'Carninci P', 'Chambers JC', 'Hon CC', 'Matangkasombut P', 'Charoensawan V', 'Majumder PP', 'Shin JW', 'Park WY', 'Prabhakar S.']",2025,Cell.,https://pubmed.ncbi.nlm.nih.gov/40112801/
40112800,Jumbo phage killer immune system targets early infection of nucleus-forming phages.,"['Yuping L', 'Guan L', 'Becher I', 'Makarova KS', 'Cao X', 'Hareendranath S', 'Guan J', 'Stein F', 'Yang S', 'Boergel A', 'Lapouge K', 'Remans K', 'Agard D', 'Savitski M', 'Typas A', 'Koonin EV', 'Feng Y', 'Bondy-Denomy J.']",2025,Cell.,https://pubmed.ncbi.nlm.nih.gov/40112800/
40112799,Genetic protection from type 1 diabetes resulting from accelerated insulin mRNA decay.,"['van Tienhoven R', ""O'Meally D"", 'Scott TA', 'Morris KV', 'Williams JC', 'Kaddis JS', 'Zaldumbide A', 'Roep BO.']",2025,Cell.,https://pubmed.ncbi.nlm.nih.gov/40112799/
40112297,Higher level of Hepatitis B Surface antigen associated with delayed development of hepatocellular carcinoma in immune-tolerant patients.,"['Tseng TC', 'Hosaka T', 'Pan MH', 'Liu CJ', 'Suzuki F', 'Chen CJ', 'Su TH', 'Kumada H', 'Yang WT', 'Yang HC', 'Liu CH', 'Chen PJ', 'Yang HI', 'Kao JH.']",2025,Hepatology.,https://pubmed.ncbi.nlm.nih.gov/40112297/
40112295,"Effectiveness of Digital Lifestyle Interventions on Depression, Anxiety, Stress, and Well-Being: Systematic Review and Meta-Analysis.","['Brinsley J', ""O'Connor EJ"", 'Singh B', 'McKeon G', 'Curtis R', 'Ferguson T', 'Gosse G', 'Willems I', 'Marent PJ', 'Szeto K', 'Firth J', 'Maher C.']",2025,J Med Internet Res.,https://pubmed.ncbi.nlm.nih.gov/40112295/
40112284,Clonal hematopoiesis is clonally unrelated to multiple myeloma and is associated with specific microenvironmental changes.,"['Lionetti M', 'Scopetti M', 'Matera A', 'Maeda A', 'Marella A', 'Lazzaroni F', 'Castellano G', 'Fabris S', 'Pioggia S', 'Lonati S', 'Marchetti A', 'Cattaneo A', 'Tornese M', 'Neri A Dr', 'Leoni C', 'Pettine L', 'Traini V', 'Silvestris I', 'Barbieri M', 'Fabbiano G', 'Ronchetti D', 'Taiana E', 'De Magistris C', ""Da Via' MC"", 'Passamonti F', 'Bolli N.']",2025,Blood.,https://pubmed.ncbi.nlm.nih.gov/40112284/
40112254,Effects of exercise on inflammation in female survivors of nonmetastatic breast cancer: a systematic review and meta-analysis.,"['Bettariga F', 'Taaffe DR', 'Borsati A', 'Avancini A', 'Pilotto S', 'Lazzarini SG', 'Lopez P', 'Maestroni L', 'Crainich U', 'Campbell JP', 'Clay TD', 'Galvão DA', 'Newton RU.']",2025,J Natl Cancer Inst.,https://pubmed.ncbi.nlm.nih.gov/40112254/
40112238,Natural History of Patients With Mitochondrial ATPase Deficiency Due to Pathogenic Variants of MT-ATP6 and MT-ATP8.,"['Carli S', 'Levarlet A', 'Diodato D', 'Bertini ES', 'Martinelli D', 'Malandrini A', 'Lopergolo D', 'Gallus GN', 'Ganetzky RD', 'La Morgia C', 'Carelli V', 'Primiano G', 'Domínguez-González C', 'Serrano-Lorenzo P', 'Martín MA', 'Ardissone A', 'Lamperti C', 'Nicoletta V', 'Klopstock T', 'Distelmaier F', 'Zeng L', 'Büchner B', 'Mancuso M', 'Schuelke M', 'Prigione A', 'Garone C.']",2025,Neurology.,https://pubmed.ncbi.nlm.nih.gov/40112238/
40112217,Targeting COPA to Enhance Erdafitinib Sensitivity in FGFR-Altered Bladder Cancer.,"['Zhao H', 'Gao X', 'Jiang Y', 'Yu Y', 'Wang L', 'Sun J', 'Wang M', 'Xiong X', 'Huang C', 'Zhang H', 'Jiang G.']",2025,Adv Sci (Weinh).,https://pubmed.ncbi.nlm.nih.gov/40112217/
40112213,Bilirubin Targeting WNK1 to Alleviate NLRP3-Mediated Neuroinflammation.,"['Mao L', 'Lu J', 'Yang Q', 'Liu Z', 'Wu C', 'Ke B', 'Su K', 'Yuan H', 'Cui Y', 'Wang Y', 'Salvi R', 'Yang G', 'Yin S', 'Liu F', 'Li C.']",2025,Adv Sci (Weinh).,https://pubmed.ncbi.nlm.nih.gov/40112213/
40112194,Rational Design and Organoid-Based Evaluation of a Cocktail CAR-γδ T Cell Therapy for Heterogeneous Glioblastoma.,"['Zhu G', 'Sun Z', 'Liu Y', 'Liu J', 'Guo L', 'Pei G', 'Jiang Y', 'Miao B', 'Li Z', 'Zhang P', 'Tang D', 'Zhang W', 'Wang C.']",2025,Adv Sci (Weinh).,https://pubmed.ncbi.nlm.nih.gov/40112194/
40112179,Semaphorin 3E-Plexin D1 Axis Drives Lung Fibrosis through ErbB2-Mediated Fibroblast Activation.,"['Deng Z', 'Chen J', 'Yang R', 'Zhan Y', 'Chen S', 'Zhang J', 'Fu H', 'Gu Y', 'Huang Q', 'Wu J', 'Shan L', 'Gounni AS', 'Xie J.']",2025,Adv Sci (Weinh).,https://pubmed.ncbi.nlm.nih.gov/40112179/
40112113,Wdr5-mediated H3K4 methylation facilitates HSPC development via maintenance of genomic stability in zebrafish.,"['Wang X', 'Liu M', 'Zhang Y', 'Ma D', 'Wang L', 'Liu F.']",2025,Proc Natl Acad Sci U S A.,https://pubmed.ncbi.nlm.nih.gov/40112113/
40112111,MITD1 is a brain-specific interferon-inducible factor that inhibits flavivirus replication.,"['Zoladek J', 'Cannac M', 'Seite M', 'Davies E', 'Quellec J', 'Barthelemy J', 'Gorna K', 'Desgraupes S', 'Bribes I', 'Salinas S', 'Coulpier M', 'Arhel NJ', 'Palmarini M', 'Simonin Y', 'Wilson SJ', 'Nisole S.']",2025,Proc Natl Acad Sci U S A.,https://pubmed.ncbi.nlm.nih.gov/40112111/
40112108,The PBAP chromatin remodeling complex mediates summer diapause via H3K4me3-driven juvenile hormone regulation in Colaphellus bowringi.,"['Tian Z', 'Wang K', 'Guo S', 'Li JX', 'King-Jones K', 'Zhu F', 'Liu W', 'Wang XP.']",2025,Proc Natl Acad Sci U S A.,https://pubmed.ncbi.nlm.nih.gov/40112108/
40112074,Apoplastic barriers are essential for nodule formation and nitrogen fixation in Lotus japonicus.,"['Shen D', 'Micic N', 'Venado RE', 'Bjarnholt N', 'Crocoll C', 'Persson DP', 'Samwald S', 'Kopriva S', 'Westhoff P', 'Metzger S', 'Neumann U', 'Nakano RT', 'Marín Arancibia M', 'Andersen TG.']",2025,Science.,https://pubmed.ncbi.nlm.nih.gov/40112074/
40112060,Synaptic architecture of a memory engram in the mouse hippocampus.,"['Uytiepo M', 'Zhu Y', 'Bushong E', 'Chou K', 'Polli FS', 'Zhao E', 'Kim KY', 'Luu D', 'Chang L', 'Yang D', 'Ma TC', 'Kim M', 'Zhang Y', 'Walton G', 'Quach T', 'Haberl M', 'Patapoutian L', 'Shahbazi A', 'Zhang Y', 'Beutter E', 'Zhang W', 'Dong B', 'Khoury A', 'Gu A', 'McCue E', 'Stowers L', 'Ellisman M', 'Maximov A.']",2025,Science.,https://pubmed.ncbi.nlm.nih.gov/40112060/
40112058,In-cell architecture of the mitochondrial respiratory chain.,"['Waltz F', 'Righetto RD', 'Lamm L', 'Salinas-Giegé T', 'Kelley R', 'Zhang X', 'Obr M', 'Khavnekar S', 'Kotecha A', 'Engel BD.']",2025,Science.,https://pubmed.ncbi.nlm.nih.gov/40112058/
40112047,Hippocampal encoding of memories in human infants.,"['Yates TS', 'Fel J', 'Choi D', 'Trach JE', 'Behm L', 'Ellis CT', 'Turk-Browne NB.']",2025,Science.,https://pubmed.ncbi.nlm.nih.gov/40112047/
40111981,Enhanced memory despite severe sleep loss in Drosophila insomniac mutants.,"['Huang S', 'Piao C', 'Zhao Z', 'Beuschel CB', 'Turrel O', 'Toppe D', 'Sigrist SJ.']",2025,PLoS Biol.,https://pubmed.ncbi.nlm.nih.gov/40111981/
40111901,Autoimmune Disorders of the Liver and Biliary Tract.,"['Anderson CM', 'Welle CL', 'Ludwig DR', 'Anderson MA', 'Khot R', 'Itani M', 'Zulfiqar M', 'Torbenson MS', 'Venkatesh SK.']",2025,Radiographics.,https://pubmed.ncbi.nlm.nih.gov/40111901/
40111826,Dosing and clinical outcomes of ruxolitinib in patients with myelofibrosis in a real-world setting: Interim results of the Italian observational study (ROMEI).,"['Breccia M', 'Palandri F', 'Martelli M', 'Mendicino F', 'Malato A', 'Palumbo GA', 'Sibilla S', 'Di Renzo N', 'Abruzzese E', 'Siragusa S', 'Crugnola M', 'Selleri C', 'Pane F', 'Sportoletti P', 'Martino B', 'Impera S', 'Ricco A', 'Langella M', 'Ditonno P', 'Carli G', 'Itri F', 'Liberati AM', 'Urbano T', 'Tafuri A', 'Polizzi V', 'Pastore D', 'Morsia E', 'Benevolo G', 'Micucci G', 'Farina G', 'Bonifacio M', 'Elli EM', 'Gardellini A', 'De Stefano V', 'Caocci G', 'Falcone AP', 'Vallisa D', 'Brociner M', 'Tiribelli M', 'Binotto G', 'Pocali B', 'Cavazzini F', 'Tomassetti S', 'Lunghi F', 'Di Ianni M', 'Allegra A', 'Anaclerio B', 'Mazzotta S', 'Orofino N', 'Gherlinzoni F', 'Castiglioni C', 'Landoni M', 'Valsecchi D', 'Magnoli M', 'Guglielmelli P', 'Passamonti F.']",2025,Cancer.,https://pubmed.ncbi.nlm.nih.gov/40111826/
40111762,Novel modelling approaches to elucidate the genetic architecture of resilience to Alzheimer's disease.,"['Phillips JM', 'Dumitrescu LC', 'Archer DB', 'Regelson AN', 'Mukherjee S', 'Lee ML', 'Choi SE', 'Scollard P', 'Trittschuh EH', 'Kukull WA', 'Biber S', 'Mez J', 'Mahoney ER', 'Clifton M', 'Libby JB', 'Walters S', 'Bush WS', 'Engelman CD', 'Lu Q', 'Fardo DW', 'Widaman KF', 'Buckley RF', 'Mormino EC', 'Sanders RE', 'Clark LR', 'Gifford KA', 'Vardarajan B', 'Cuccaro ML', 'Pericak-Vance MA', 'Farrer LA', 'Wang LS', 'Schellenberg GD', 'Haines JL', 'Jefferson AL', 'Johnson SC', 'Albert MS', 'Keene CD', 'Saykin AJ', 'Risacher SL', 'Larson EB', 'Sperling RA', 'Mayeux R', 'Goate AM', 'Renton AE', 'Marcora E', 'Fulton-Howard B', 'Patel T', 'Bennett DA', 'Schneider JA', 'Barnes LL', 'Cruchaga C', 'Hassenstab J', 'Belloy ME', 'Andrews SJ', 'Resnick SM', 'Bilgel M', 'An Y', 'Beason-Held LL', 'Walker KA', 'Duggan MR', 'Klinedinst BS', 'Crane PK', 'Hohman TJ.']",2025,Brain.,https://pubmed.ncbi.nlm.nih.gov/40111762/
40111714,Development of a CT-less SPECT Acquisition Protocol for Kidney Dosimetry in 177Lu-PSMA-617 Radioligand Therapy.,"['Happel C', 'Völler L', 'Bockisch B', 'Groener D', 'Leonhäuser B', 'Grünwald F', 'Sabet A.']",2025,Mol Imaging Biol.,https://pubmed.ncbi.nlm.nih.gov/40111714/
40111698,"Modulation of the Human Microbiome: Probiotics, Prebiotics, and Microbial Transplants.",['Vernon JJ.'],2025,Adv Exp Med Biol.,https://pubmed.ncbi.nlm.nih.gov/40111698/
40111422,TP53 mutations and TET2 deficiency cooperate to drive leukemogenesis and establish an immunosuppressive environment.,"['Zhang P', 'Whipp EC', 'Skuli SJ', 'Gharghabi M', 'Saygin C', 'Sher SA', 'Carroll M', 'Pan X', 'Eisenmann ED', 'Lai TH', 'Harrington BK', 'Chan WK', 'Youssef Y', 'Chen B', 'Penson A', 'Lewis AM', 'Castro CR', 'Fox N', 'Cihan A', 'Le Luduec JB', 'DeWolf S', 'Kauffman T', 'Mims AS', 'Canfield D', 'Phillips H', 'Williams KE', 'Shaffer J', 'Lozanski A', 'Doong TJ', 'Lozanski G', 'Mao C', 'Walker CJ', 'Blachly JS', 'Daniyan AF', 'Alinari L', 'Baiocchi RA', 'Yang Y', 'Grieselhuber NR', 'Campbell MJ', 'Baker SD', 'Blaser BW', 'Abdel-Wahab O', 'Lapalombella R.']",2025,J Clin Invest.,https://pubmed.ncbi.nlm.nih.gov/40111422/
40111409,Erythrocyte-derived extracellular vesicles induce endothelial dysfunction through arginase-1 and oxidative stress in type 2 diabetes.,"['Collado A', 'Humoud R', 'Kontidou E', 'Eldh M', 'Swaich J', 'Zhao A', 'Yang J', 'Jiao T', 'Domingo E', 'Carlestål E', 'Mahdi A', 'Tengbom J', 'Végvári Á', 'Deng Q', 'Alvarsson M', 'Gabrielsson S', 'Eriksson P', 'Zhou Z', 'Pernow J.']",2025,J Clin Invest.,https://pubmed.ncbi.nlm.nih.gov/40111409/
40111368,Practice Patterns and Survival Outcomes of Immunotherapy for Metastatic Colorectal Cancer.,"['Bari S', 'Matejcic M', 'Kim RD', 'Xie H', 'Sahin IH', 'Powers BD', 'Teer JK', 'Chan TA', 'Felder SI', 'Schmit SL.']",2025,JAMA Netw Open.,https://pubmed.ncbi.nlm.nih.gov/40111368/
40111335,Complementing CD20 antibodies' effector functions.,"['Leusen J', 'Valerius T.']",2025,Blood.,https://pubmed.ncbi.nlm.nih.gov/40111335/
40111318,Accelerated Aging in Survivors of Childhood Cancer-Early Onset and Excess Risk of Chronic Conditions.,"['Yeh JM', 'Ward ZJ', 'Stratton KL', 'McMahon MV', 'Taylor CS', 'Armstrong GT', 'Chow EJ', 'Hudson MM', 'Morton LM', 'Oeffinger KC', 'Diller LR', 'Leisenring WM.']",2025,JAMA Oncol.,https://pubmed.ncbi.nlm.nih.gov/40111318/
40111224,Type I interferon autoantibody footprints reveal neutralizing mechanisms and allow inhibitory decoy design.,"['Groen K', 'Kuratli R', 'Enkelmann J', 'Fernbach S', 'Wendel-Garcia PD', 'Staiger WI', 'Lejeune M', 'Sauras-Colón E', 'Roche-Campo F', 'Filippidis P', 'Rauch A; Swiss HIV Cohort Study; Trkola A', 'Günthard HF', 'Kouyos RD', 'Brugger SD', 'Hale BG.']",2025,J Exp Med.,https://pubmed.ncbi.nlm.nih.gov/40111224/
40111209,"Confirmatory Evidence Used in Non-Oncologic Rare Disease New Molecular Entity Marketing Applications Approved by FDA, 2020-2023.","['Nugent BM', 'Ramamoorthy A', 'Pippins JR', 'Pepe S', 'Doi M', 'Thomas A', 'Bagheri B', 'Welsh C', 'Madabushi R', 'Lee KJ.']",2025,Clin Pharmacol Ther.,https://pubmed.ncbi.nlm.nih.gov/40111209/
40111179,Current Practices in Monitoring Children and Adults with X-linked Hypophosphatemia: A Global Survey of Expert Experience.,"['Ali DS', 'Alsarraf F', 'Abu Alrob H', 'Alexander RT', 'Almoulia A', 'Appelman-Dijkstra NM', 'Beck-Nielsen SS', 'Biosse-Duplan M', 'Brandi ML', 'Carpenter TO', 'Chaussain C', 'Cohen-Solal M', 'Crowley RK', 'Dandurand K', 'Florenzano P', 'Gagnon C', 'Goodyer P', 'Grimbly C', 'Hussein S', 'Imel EA', 'Jan de Beur SM', 'Javaid MK', 'Lehman A', 'Lems WF', 'Lewiecki EM', 'McDonnell C', 'Mirza RD', 'Morgante E', 'Portale AA', 'Rhee Y', 'Siggelkow H', 'Tosi LL', 'Ward LM', 'Guyatt G', 'Khan AA.']",2025,J Clin Endocrinol Metab.,https://pubmed.ncbi.nlm.nih.gov/40111179/
40111096,Association of Triglyceride-Glucose-Related Obesity Indices With All-Cause and Cardiovascular Mortality Among Individuals With Hyperuricemia: A Retrospective Cohort Study.,"['Huang Y', 'Wei Z', 'Wang L', 'Zhang G', 'Yang G', 'Yu J', 'Wu Q', 'Liu J.']",2025,J Am Nutr Assoc.,https://pubmed.ncbi.nlm.nih.gov/40111096/
40111069,25 years of palivizumab: a global historic review of its impact on the burden of respiratory syncytial virus disease in children.,"['Carbonell-Estrany X', 'Simões EAF', 'Bont L', 'Manzoni P', 'Zar HJ', 'Greenough A', 'Ramilo O', 'Stein R', 'Law B', 'Mejias A', 'Sanchez Luna M', 'Checchia PA', 'Krilov L', 'Lanari M', 'Dagan R', 'Fauroux B', 'Resch B', 'Heikkinen T', 'Domachowske JB', 'Wildenbeest JG', 'Martinon-Torres F', 'Thwaites R', 'Cetinkaya M', 'Alharbi AS', 'Rodriguez-Martinez CE', 'Noyola DE', 'Kassim A', 'Kusuda S', 'Kang JM', 'Rodgers-Gray B', 'Platonova A', 'Jah F', 'Paes B.']",2025,Expert Rev Anti Infect Ther.,https://pubmed.ncbi.nlm.nih.gov/40111069/
40110869,Combined pharmacological and psychosocial interventions for alcohol use disorder.,"['Minozzi S', 'La Rosa GRM', 'Salis F', 'Camposeragna A', 'Saulle R', 'Leggio L', 'Agabio R.']",2025,Cochrane Database Syst Rev.,https://pubmed.ncbi.nlm.nih.gov/40110869/
40110814,Research progress on the pathogenesis of androgenetic alopecia.,"['Chen S', 'Zheng D', 'Wang H.']",2025,Eur J Dermatol.,https://pubmed.ncbi.nlm.nih.gov/40110814/
40110679,Metabolic stress and age drive inflammation and cognitive decline in mice and humans.,"['Elzinga SE', 'Guo K', 'Turfah A', 'Henn RE', 'Webber-Davis IF', 'Hayes JM', 'Pacut CM', 'Teener SJ', 'Carter AD', 'Rigan DM', 'Allouch AM', 'Jang DG', 'Parent R', 'Glass E', 'Murphy GG', 'Lentz SI', 'Chen KS', 'Zhao L', 'Hur J', 'Feldman EL.']",2025,Alzheimers Dement.,https://pubmed.ncbi.nlm.nih.gov/40110679/
40110647,Exploratory analysis of the proteomic profile in plasma in adults with Down syndrome in the context of Alzheimer's disease.,"['Wagemann O', 'Nübling G', 'Martínez-Murcia FJ', 'Wlasich E', 'Loosli SV', 'Sandkühler K', 'Stockbauer A', 'Prix C', 'Katzdobler S', 'Petrera A', 'Hauck SM', 'Fortea J', 'Romero-Zaliz R', 'Jiménez-Mesa C', 'Górriz Sáez JM', 'Höglinger G', 'Levin J.']",2025,Alzheimers Dement.,https://pubmed.ncbi.nlm.nih.gov/40110647/
40110644,"Association between healthy lifestyle and cognitive decline, all-cause mortality, and mortality from cardiovascular and cerebrovascular diseases: a 10-year population-based prospective cohort study.","['Li C', 'Bai C', 'Wang L', 'Zhang M', 'Zhou M', 'Chen J', 'Zhao D', 'Chen B', 'Wang Q', 'Li Y', 'Chen J', 'Guo X', 'Wang J', 'Zhao Z', 'Sun H', 'Wang L', 'Yuan J.']",2025,Alzheimers Dement.,https://pubmed.ncbi.nlm.nih.gov/40110644/
40110636,"Myofascial Pain Syndrome: An Update on Clinical Characteristics, Etiopathogenesis, Diagnosis, and Treatment.","['Steen JP', 'Jaiswal KS', 'Kumbhare D.']",2025,Muscle Nerve.,https://pubmed.ncbi.nlm.nih.gov/40110636/
40110626,Blood biomarkers differentiate AD-related versus non-AD-related cognitive deficits.,"['Sewell KR', 'Oberlin LE', 'Karikari TK', 'Olvera-Rojas M', 'Wan L', 'Morris JK', 'Kueck PJ', 'Zeng X', 'Huang H', 'Grove G', 'Chen Y', 'Lafferty TK', 'Sehrawat A', 'Kamboh MI', 'Marsland AL', 'Kramer AF', 'McAuley E', 'Burns JM', 'Hillman CH', 'Vidoni ED', 'Kang C', 'Erickson KI.']",2025,Alzheimers Dement.,https://pubmed.ncbi.nlm.nih.gov/40110626/
40110258,"Rheumatoid arthritis: a comprehensive overview of genetic markers, emerging therapies, and personalized medicine.","['Shakeel L', 'Shaukat A', 'Khaliq N', 'Kashif A', 'Mujeeb A', 'Adnan Z', 'Taj J', 'Akilimali A.']",2025,Ann Med Surg (Lond).,https://pubmed.ncbi.nlm.nih.gov/40110258/
40110208,Effect of Physical Activity on Chronic Widespread Pain: Insights From Meta-Analysis and Two-Sample Mendelian Randomization.,"['Yao C', 'Zhang Y', 'Zhao SS', 'Ren J', 'Sun P', 'Kong L', 'Tao J', 'Li J', 'Fang M', 'Zhu Q.']",2025,J Pain Res.,https://pubmed.ncbi.nlm.nih.gov/40110208/
